Chapter,Name,Link
4,aflw tour path,<a href='https://dicook.github.io/mulgar_book/data/aflw_pct.rda'> aflw_pct.rda </a>
7,detourr saved clusters,<a href='https://dicook.github.io/mulgar_book/data/detourr_penguins.csv'> detourr_penguins.csv </a>
7,detourr saved clusters,<a href='https://dicook.github.io/mulgar_book/data/fake_trees_sb.csv'> fake_trees_sb.csv </a>
1,2001 election,<a href='https://dicook.github.io/mulgar_book/data/oz_election_2001.rda'> oz_election_2001.rda </a>
1,2016 election,<a href='https://dicook.github.io/mulgar_book/data/oz_election_2016.rda'> oz_election_2016.rda </a>
"5, 7, 8, 9, 10, 11, 12, 13, 14, 15",Penguins re-organsed,<a href='https://dicook.github.io/mulgar_book/data/penguins_sub.rda'> penguins_sub.rda </a>
"8, 10, 13, 14",2D tour path for penguins,<a href='https://dicook.github.io/mulgar_book/data/penguins_tour_path.rda'> penguins_tour_path.rda </a>
